京都・大阪・岡山 方面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京都・大阪・岡山 方面
,,,,,"スーパー
はくと
2号",,"スーパー
いなば
2号",,"スーパー
はくと
4号",,"スーパー
いなば
4号","スーパー
はくと
6号",,,"スーパー
はくと
8号",,"スーパー
いなば
6号",,"スーパー
はくと
10号",,"スーパー
はくと
12号","スーパー
いなば
8号",,,"スーパー
はくと
14号",,,"スーパー
はくと
16号",,"スーパー
いなば
10号",,"スーパー
,,,,,,,"スーパー
いなば
1号",,,"スーパー
はくと
1号","スーパー
いなば
3号",,,"スーパー
はくと
3号","スーパー
いなば
5号",,"スーパー
はくと
5号",,"スーパー
はくと
7号","スーパー
いなば
7号",,,"スーパー
はくと
9号",,,,"スーパー
いなば
9号",,"スーパー
はくと
11号",,,,"スーパー
はくと
13号","スーパー
いなば
11号",,"スーパー
はくと
15号"
京都,発,,,,,,,,,706,,,851,850,,,,,,,,,,,,,,,,,,,,,,
新大阪,発,,,,,,,,,731,,,,915,,,,,,,,,,,,,,,,,,,,,,
大  阪,発,,,,,,,,,738,,,925,926,,,1056,,1256,,,,1456,,,,,,1704,,,土休日,1906,,,2036
三ノ宮,発,,,,,,,,,757,,,943,944,,,1114,,1314,,,,1514,,,,,,1727,,,1927,1928,,,2057
明石,発,,,,,,,,,812,,,土休日,958,,,1128,,1328,,,,1528,,,,,,1743,,,1944,1945,,,2113
姫路,発,,,,,,,,,836,,,,1023,,,1153,,1353,,,,1553,,,,,,1807,,,,2011,,,2139
岡山,発,,,,,,646,,,∥,913,,,∥,1105,,∥,,∥,1401,,,∥,,,,1724,,∥,,,,∥,2019,,∥
上郡,着,,,,,,723,,,901,947,,,1046,1139,,1215,,1415,1436,,,1615,,,,1759,,1829,,,,2033,2053,,2202
,,721D,723D,,725D,727D,,729D,731D,,,,733D,,,735D,,737D,,,739D,741D,,743D,745D,747D,,749D,,751D,753D,755D,,,757D,
上郡,発,,,,632,712,725,751,850,902,950,,1027,1048,1142,1148,1216,1313,1416,1439,1450,1542,1616,1630,,1716,1803,1816,1831,1904,1947,2026,2034,2055,2129,2203
苔縄,発,,,,637,718,↓,757,855,↓,↓,,1033,↓,↓,1201,↓,1338,↓,↓,1510,1554,↓,1635,,1722,↓,1821,↓,1915,1959,2031,↓,↓,2134,↓
河野原,発,,,,641,733,↓,801,859,↓,↓,,1036,↓,↓,1204,↓,1342,↓,↓,1523,1557,↓,1639,,1729,↓,1826,↓,1919,2007,2047,↓,↓,2142,↓
久崎,発,,,,648,744,↓,809,904,↓,↓,,1041,↓,↓,1212,↓,1347,↓,↓,1528,1602,↓,1644,,1741,↓,1831,↓,1924,2012,2052,↓,↓,2147,↓
佐用,着,,,,653,750,737,814,910,913,1003,,1047,1100,1156,1218,1227,1352,1427,1450,1533,1607,1627,1649,,1746,1815,1837,1842,1930,2017,2057,2045,2107,2152,2214
佐用,発,,,,659,805,738,821,917,914,1004,,1048,1101,1157,1231,1227,1354,1427,1451,1536,1612,1627,1650,,1752,1816,1846,1842,1941,2018,2120,2045,2108,2153,2214
平福,発,,,,704,811,↓,826,922,↓,↓,,1109,↓,↓,1236,↓,1359,↓,↓,1541,1636,↓,1655,,1803,↓,1851,↓,1956,2024,2132,↓,↓,2158,↓
石井,発,,,,710,816,↓,832,928,↓,↓,,1115,↓,↓,1242,↓,1405,↓,↓,1547,1641,↓,1701,,1809,↓,1857,↓,2002,2030,2137,↓,↓,2204,↓
